"","GEOID","county","bau_pm25_2025","bau_pm25_2045","total_pm25_2025","total_pm25_2045","dac_share","pop","bau_pm25_change_pct","total_pm25_change_pct","diff_pm25"
"12","06023","Humboldt",9.95170207867246e-07,6.1805598396732e-07,9.40531509834029e-07,5.1187255865119e-07,0,78617.2427334839,-37.8944446807869,-45.5762456335442,-7.68180095275726
"13","06025","Imperial",0.00440205533948311,0.00235926305116725,0.00406699794982871,0.00193308516079865,0.487924074013828,106387.932206454,-46.4054204406191,-52.4689910187915,-6.06357057817239
"14","06027","Inyo",0.00388371323255912,0.00232307816995405,0.00371174334529531,0.00198300482602331,0,12463.2250596377,-40.184096228359,-46.5748398650247,-6.39074363666563
"15","06029","Kern",0.0742766999038702,0.043964533497446,0.0712623573462735,0.0378814920581881,0.440430878339494,530475.718571722,-40.8097915573182,-46.8422130998042,-6.03242154248598
"16","06031","Kings",0.0460895323841717,0.0277124291378543,0.0441085453509062,0.0236862066050027,0.312484095833232,87645.9509928782,-39.8726181318962,-46.300186468253,-6.42756833635682
"17","06033","Lake",3.73262235627106e-06,2.35062138847859e-06,3.53434034962594e-06,1.94593980085891e-06,0,41110.3162738441,-37.0249341048556,-44.9419238567429,-7.91698975188724
"18","06035","Lassen",2.01842412035816e-05,1.23028263450033e-05,1.91259933129513e-05,1.03001315165294e-05,0,18769.5650673403,-39.047367592792,-46.1459002521213,-7.09853265932929
"19","06037","Los Angeles",0.0275024169940359,0.0145493479506217,0.0252280961848142,0.0117957518216276,0.39755454380305,6454121.44739206,-47.0979297791287,-53.2435910533434,-6.14566127421465
"20","06039","Madera",0.00017468309018225,0.0001093885987192,0.00016597161824899,9.12696090475538e-05,0.438481800664973,96908.2675676067,-37.3788277931923,-45.0089057331287,-7.63007793993646
"21","06041","Marin",9.13924608084703e-06,5.82749923697285e-06,8.66318819794739e-06,4.81385108946541e-06,0,181624.405824697,-36.2365430865742,-44.4332619877059,-8.19671890113166
"22","06043","Mariposa",0.00010699395177963,6.64871486014831e-05,0.00010161302394925,5.56061423732056e-05,0,12732.8533731805,-37.8589653942091,-45.2765598227076,-7.41759442849852
